"contig","D","JK_D","V_JK_D","Z","pvalue","nABBA","nBABA","nBlocks","H1","H2","H3","H4","p_adjust"
"MA_10119918","0.312929","0.312929","0.000020","69.392770","0.000000","0.225680","0.118101","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10123169","0.519757","0.519757","0.007733","5.910633","0.000000","2.218432","0.701024","2","South_RS","Mid_North_RS","BS","NS",0
"MA_101231","-0.239403","-0.239403","0.000439","-11.428987","0.000000","1.438805","2.344553","4","South_RS","Mid_North_RS","BS","NS",0
"MA_101292","0.410564","0.410564","0.010321","4.041262","0.000053","7.452741","3.114299","4","South_RS","Mid_North_RS","BS","NS",0.000485076499388005
"MA_10130413","0.245184","0.245184","0.002425","4.978949","0.000001","7.911461","4.795839","2","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10136525","-0.833423","-0.833423","0.002318","-17.310308","0.000000","0.005267","0.057971","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10138791","0.071479","0.071479","0.000011","21.958386","0.000000","17.390389","15.070138","2","South_RS","Mid_North_RS","BS","NS",0
"MA_101392","0.142730","0.142730","0.000664","5.538657","0.000000","18.569434","13.930684","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10140021","0.310434","0.310434","0.002565","6.129006","0.000000","3.680758","1.936859","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10140431","-0.758744","-0.758744","0.007590","-8.708962","0.000000","0.345846","2.521203","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10142481","0.494287","0.494287","0.001650","12.168624","0.000000","8.517657","2.882636","2","South_RS","Mid_North_RS","BS","NS",0
"MA_101443","0.839952","0.839952","0.013206","7.309183","0.000000","15.064644","1.310399","4","South_RS","Mid_North_RS","BS","NS",0
"MA_101525","-0.090807","-0.090807","0.000381","-4.649778","0.000003","9.469346","11.360886","3","South_RS","Mid_North_RS","BS","NS",3.24873280231716e-05
"MA_10156","0.221446","0.221446","0.002815","4.173978","0.000030","12.019108","7.661022","7","South_RS","Mid_North_RS","BS","NS",0.000284315589353612
"MA_10159883","-0.875034","-0.875034","0.002152","-18.861032","0.000000","0.039679","0.595357","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10163294","1.000000","1.000000","0.000000","Inf","0.000000","0.786359","0.000000","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10164112","0.539204","0.539204","0.006880","6.500563","0.000000","0.897084","0.268563","2","South_RS","Mid_North_RS","BS","NS",0
"MA_101664","0.727157","0.727157","0.018283","5.377856","0.000000","16.684192","2.635640","4","South_RS","Mid_North_RS","BS","NS",0
"MA_10166825","0.873170","0.873170","0.000002","659.676318","0.000000","2.526133","0.171041","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10187020","0.708663","0.708663","0.018624","5.192774","0.000000","1.252380","0.213538","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10188845","-0.234047","-0.234047","0.000484","-10.634327","0.000000","4.183869","6.740742","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10193317","0.916730","0.916730","0.022312","6.137249","0.000000","1.884297","0.081861","2","South_RS","Mid_North_RS","BS","NS",0
"MA_101953","0.412091","0.412091","0.005203","5.712770","0.000000","12.996255","5.410850","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10200347","0.369108","0.369108","0.000360","19.448576","0.000000","1.674721","0.771720","2","South_RS","Mid_North_RS","BS","NS",0
"MA_102016","0.404706","0.404706","0.009175","4.225180","0.000024","14.066672","5.961258","4","South_RS","Mid_North_RS","BS","NS",0.000230965250965251
"MA_10205704","-0.594324","-0.594324","0.000005","-262.119579","0.000000","1.048643","4.121215","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10206687","0.409964","0.409964","0.000154","33.061022","0.000000","5.295435","2.216010","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10207237","-0.239113","-0.239113","0.001591","-5.994951","0.000000","1.572412","2.560692","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10208000","0.953120","0.953120","0.000051","133.435143","0.000000","1.805172","0.043329","2","South_RS","Mid_North_RS","BS","NS",0
"MA_102106","0.580269","0.580269","0.014290","4.854083","0.000001","4.513313","1.198770","2","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10210778","0.203860","0.203860","0.000883","6.862191","0.000000","0.569804","0.376824","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10210994","0.533660","0.533660","0.008965","5.636236","0.000000","2.533333","0.770311","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10211472","0.287232","0.287232","0.003512","4.846478","0.000001","5.836436","3.231758","2","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10215885","0.427940","0.427940","0.000123","38.513304","0.000000","8.601094","3.445759","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10216289","0.130489","0.130489","0.000130","11.455177","0.000000","7.470357","5.745800","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10217683","0.210443","0.210443","0.000289","12.377762","0.000000","3.432619","2.239053","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10221581","0.177650","0.177650","0.000061","22.835810","0.000000","5.217932","3.643666","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10225405","1.000000","1.000000","0.000000","Inf","0.000000","0.292360","0.000000","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10227195","0.996796","0.996796","0.000108","95.764673","0.000000","3.497670","0.005613","2","South_RS","Mid_North_RS","BS","NS",0
"MA_102293","-0.934211","-0.934211","0.048810","-4.228538","0.000024","0.080575","2.368939","2","South_RS","Mid_North_RS","BS","NS",0.000230965250965251
"MA_10230304","1.000000","1.000000","0.000000","Inf","0.000000","0.086523","0.000000","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10231644","0.769107","0.769107","0.001811","18.073123","0.000000","0.597070","0.077926","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10240520","-0.264001","-0.264001","0.000256","-16.497506","0.000000","3.252864","5.586453","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10241326","-0.453153","-0.453153","0.001382","-12.188975","0.000000","0.336543","0.894306","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10241350","-0.399125","-0.399125","0.000185","-29.340941","0.000000","0.367878","0.856596","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10244164","0.560553","0.560553","0.003023","10.195149","0.000000","7.964410","2.242752","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10251937","-0.153191","-0.153191","0.000731","-5.664264","0.000000","2.338501","3.184587","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10253568","0.423229","0.423229","0.000164","33.073045","0.000000","2.148085","0.870523","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10260388","0.735941","0.735941","0.005945","9.544689","0.000000","2.538597","0.386154","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10263948","0.791695","0.791695","0.002947","14.584525","0.000000","2.854771","0.331900","2","South_RS","Mid_North_RS","BS","NS",0
"MA_102655","0.881173","0.881173","0.030526","5.043470","0.000000","1.257097","0.079406","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10268012","-0.480103","-0.480103","0.001439","-12.655708","0.000000","0.531671","1.513623","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10274284","0.170471","0.170471","0.001296","4.736068","0.000002","3.594701","2.547614","2","South_RS","Mid_North_RS","BS","NS",2.19603524229075e-05
"MA_10274989","0.516505","0.516505","0.002210","10.987675","0.000000","4.356614","1.388984","2","South_RS","Mid_North_RS","BS","NS",0
"MA_102767","1.000000","1.000000","0.000000","Inf","0.000000","0.848499","0.000000","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10277941","0.031338","0.031338","0.000001","28.473661","0.000000","8.416974","7.905461","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10278051","0.276730","0.276730","0.001371","7.473597","0.000000","9.909931","5.614000","3","South_RS","Mid_North_RS","BS","NS",0
"MA_102818","0.445168","0.445168","0.006519","5.513481","0.000000","0.415032","0.159340","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10281985","-0.142463","-0.142463","0.000017","-34.308276","0.000000","7.519141","10.017454","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10284002","-0.261768","-0.261768","0.000445","-12.411775","0.000000","13.282690","22.702465","2","South_RS","Mid_North_RS","BS","NS",0
"MA_102850","0.604528","0.604528","0.005822","7.922839","0.000000","6.295379","1.551639","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10285340","0.323175","0.323175","0.005118","4.517263","0.000006","1.380623","0.706211","2","South_RS","Mid_North_RS","BS","NS",6.28361344537815e-05
"MA_10287483","-0.114573","-0.114573","0.000075","-13.226935","0.000000","8.669419","10.913030","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10291874","-0.582585","-0.582585","0.017861","-4.359246","0.000013","0.018988","0.071991","2","South_RS","Mid_North_RS","BS","NS",0.000130831090174966
"MA_10292020","-0.978961","-0.978961","0.016747","-7.564820","0.000000","0.051042","4.801174","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10294386","0.738253","0.738253","0.001716","17.820334","0.000000","0.664748","0.100098","2","South_RS","Mid_North_RS","BS","NS",0
"MA_103090","0.758290","0.758290","0.001090","22.972829","0.000000","4.967674","0.682899","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10309429","-0.030048","-0.030048","0.000033","-5.245357","0.000000","5.517655","5.859515","2","South_RS","Mid_North_RS","BS","NS",0
"MA_103130","0.390435","0.390435","0.006641","4.791238","0.000002","12.741578","5.585893","5","South_RS","Mid_North_RS","BS","NS",2.19603524229075e-05
"MA_10314671","-0.092457","-0.092457","0.000045","-13.858099","0.000000","34.414194","41.426153","4","South_RS","Mid_North_RS","BS","NS",0
"MA_103178","-0.383525","-0.383525","0.003848","-6.182923","0.000000","2.409071","5.406565","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10321604","0.678501","0.678501","0.000636","26.905417","0.000000","1.558964","0.298603","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10325032","0.111825","0.111825","0.000003","60.950111","0.000000","14.245881","11.380244","3","South_RS","Mid_North_RS","BS","NS",0
"MA_103285","0.555276","0.555276","0.009415","5.722592","0.000000","2.017900","0.577010","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10338017","-0.912852","-0.912852","0.003046","-16.540334","0.000000","0.155530","3.413818","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10340159","-0.051871","-0.051871","0.000000","-86.526614","0.000000","19.669397","21.821569","2","South_RS","Mid_North_RS","BS","NS",0
"MA_103467","-0.468248","-0.468248","0.007113","-5.551999","0.000000","0.754354","2.082888","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10352051","0.035138","0.035138","0.000034","6.013156","0.000000","17.613181","16.417425","2","South_RS","Mid_North_RS","BS","NS",0
"MA_103629","0.774030","0.774030","0.033478","4.230389","0.000023","4.545472","0.578988","4","South_RS","Mid_North_RS","BS","NS",0.000222199612403101
"MA_103692","0.544213","0.544213","0.007470","6.296567","0.000000","17.224380","5.083910","7","South_RS","Mid_North_RS","BS","NS",0
"MA_10370593","0.825487","0.825487","0.021296","5.656721","0.000000","1.162579","0.111140","4","South_RS","Mid_North_RS","BS","NS",0
"MA_104052","0.855029","0.855029","0.000028","162.862108","0.000000","2.825447","0.220810","2","South_RS","Mid_North_RS","BS","NS",0
"MA_104066","0.766472","0.766472","0.024023","4.945187","0.000001","9.773554","1.292068","5","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10425773","0.501006","0.501006","0.010774","4.826726","0.000001","4.731551","1.572954","2","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10425785","-0.369093","-0.369093","0.002354","-7.607524","0.000000","0.900996","1.955197","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10425832","0.681866","0.681866","0.019319","4.905808","0.000001","9.473349","1.791934","3","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10425836","0.201929","0.201929","0.000656","7.882680","0.000000","7.554691","5.016253","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10425840","0.281380","0.281380","0.001274","7.882060","0.000000","4.608612","2.584589","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10425884","-0.360935","-0.360935","0.001638","-8.917300","0.000000","2.997015","6.382361","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10425894","0.925261","0.925261","0.005918","12.027027","0.000000","1.472962","0.057181","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10425924","0.788194","0.788194","0.027520","4.751278","0.000002","2.313063","0.273975","2","South_RS","Mid_North_RS","BS","NS",2.19603524229075e-05
"MA_10426006","1.000000","1.000000","0.000000","Inf","0.000000","0.007638","0.000000","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10426013","0.750816","0.750816","0.010896","7.192881","0.000000","2.674418","0.380636","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10426049","0.594458","0.594458","0.015255","4.813062","0.000001","4.863337","1.236964","4","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10426158","0.706715","0.706715","0.021971","4.767781","0.000002","2.704688","0.464779","2","South_RS","Mid_North_RS","BS","NS",2.19603524229075e-05
"MA_10426227","0.969417","0.969417","0.003006","17.679938","0.000000","1.301135","0.020205","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10426246","0.373372","0.373372","0.003532","6.282537","0.000000","0.918839","0.419238","4","South_RS","Mid_North_RS","BS","NS",0
"MA_10426327","-0.230195","-0.230195","0.002613","-4.503662","0.000007","4.745149","7.583040","2","South_RS","Mid_North_RS","BS","NS",7.27484364141765e-05
"MA_10426333","0.388343","0.388343","0.005894","5.058239","0.000000","8.388550","3.695712","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10426338","-0.337721","-0.337721","0.000169","-25.972286","0.000000","3.350553","6.767693","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10426362","0.181047","0.181047","0.000003","109.128192","0.000000","2.319133","1.608115","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10426392","0.885441","0.885441","0.003686","14.583530","0.000000","5.578040","0.338920","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10426394","0.236665","0.236665","0.000790","8.422065","0.000000","28.423126","17.544263","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10426471","-0.101290","-0.101290","0.000485","-4.598542","0.000004","0.230866","0.282906","2","South_RS","Mid_North_RS","BS","NS",4.25159914712154e-05
"MA_10426545","0.305345","0.305345","0.000236","19.889200","0.000000","2.886072","1.535857","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10426606","0.878876","0.878876","0.010451","8.596942","0.000000","4.064788","0.262042","4","South_RS","Mid_North_RS","BS","NS",0
"MA_10426639","-0.305433","-0.305433","0.004434","-4.586996","0.000004","1.209524","2.273289","3","South_RS","Mid_North_RS","BS","NS",4.25159914712154e-05
"MA_10426643","0.325365","0.325365","0.000829","11.297086","0.000000","11.665230","5.937818","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10426660","0.671035","0.671035","0.018419","4.944389","0.000001","0.659393","0.129810","2","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10426674","0.276364","0.276364","0.002756","5.264584","0.000000","5.994327","3.398494","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10426775","-0.111876","-0.111876","0.000619","-4.496934","0.000007","6.075979","7.606744","2","South_RS","Mid_North_RS","BS","NS",7.27484364141765e-05
"MA_10426911","0.406984","0.406984","0.001267","11.434949","0.000000","3.651508","1.539040","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10426952","0.705908","0.705908","0.012943","6.204762","0.000000","2.238632","0.385932","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10426982","0.348741","0.348741","0.002539","6.921462","0.000000","0.345070","0.166622","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427039","0.392625","0.392625","0.009216","4.089867","0.000043","4.545117","1.982291","3","South_RS","Mid_North_RS","BS","NS",0.000398923697270471
"MA_10427057","0.021192","0.021192","0.000019","4.921959","0.000001","10.833455","10.383813","3","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10427126","0.302223","0.302223","0.000060","38.913018","0.000000","8.074521","4.326613","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427131","-0.551635","-0.551635","0.004996","-7.804740","0.000000","0.979105","3.388339","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427142","0.148421","0.148421","0.000108","14.250342","0.000000","3.741135","2.774132","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427281","-0.753985","-0.753985","0.005030","-10.631162","0.000000","1.071438","7.638904","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427303","-0.591128","-0.591128","0.001565","-14.940351","0.000000","1.396298","5.433708","4","South_RS","Mid_North_RS","BS","NS",0
"MA_10427332","-0.203530","-0.203530","0.000359","-10.743536","0.000000","2.317881","3.502506","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427362","0.570557","0.570557","0.019976","4.036844","0.000054","9.470834","2.589644","6","South_RS","Mid_North_RS","BS","NS",0.000493323152107514
"MA_10427373","0.455165","0.455165","0.000337","24.778543","0.000000","0.667709","0.250000","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427477","0.445113","0.445113","0.003217","7.848123","0.000000","10.001062","3.840158","4","South_RS","Mid_North_RS","BS","NS",0
"MA_10427480","0.252784","0.252784","0.000922","8.323749","0.000000","2.116489","1.262367","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427533","0.229006","0.229006","0.002217","4.863649","0.000001","13.109114","8.223754","2","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10427560","-0.637917","-0.637917","0.003085","-11.485969","0.000000","0.979730","4.431899","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427564","0.637406","0.637406","0.021117","4.386321","0.000012","0.592669","0.131243","2","South_RS","Mid_North_RS","BS","NS",0.000121093117408907
"MA_10427605","1.000000","1.000000","0.000000","Inf","0.000000","0.867737","0.000000","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427608","-0.993202","-0.993202","0.001788","-23.489365","0.000000","0.004010","1.175717","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427617","0.795338","0.795338","0.028750","4.690676","0.000003","4.527802","0.516153","2","South_RS","Mid_North_RS","BS","NS",3.24873280231716e-05
"MA_10427634","-0.943999","-0.943999","0.049144","-4.258313","0.000021","0.020851","0.723819","2","South_RS","Mid_North_RS","BS","NS",0.000203931818181818
"MA_10427654","-0.417523","-0.417523","0.001023","-13.056782","0.000000","0.887710","2.160342","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427668","0.637678","0.637678","0.006103","8.162361","0.000000","0.987378","0.218449","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427678","-0.170503","-0.170503","0.000314","-9.619968","0.000000","2.976358","4.199938","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427680","-0.331272","-0.331272","0.005074","-4.650681","0.000003","14.589427","29.043953","5","South_RS","Mid_North_RS","BS","NS",3.24873280231716e-05
"MA_10427683","-0.138450","-0.138450","0.000086","-14.894522","0.000000","9.353537","12.359747","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427706","0.120938","0.120938","0.000823","4.215092","0.000025","2.574201","2.018739","2","South_RS","Mid_North_RS","BS","NS",0.000239817190506735
"MA_10427723","0.414344","0.414344","0.007232","4.872377","0.000001","9.089217","3.763696","4","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10427729","-0.649920","-0.649920","0.014498","-5.397625","0.000000","0.295966","1.394881","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427772","0.948559","0.948559","0.002275","19.888292","0.000000","5.866676","0.154876","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427807","0.455204","0.455204","0.000186","33.395330","0.000000","0.629490","0.235667","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427879","0.902285","0.902285","0.013140","7.871215","0.000000","5.780473","0.296927","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427887","0.884181","0.884181","0.015840","7.025212","0.000000","1.157979","0.071180","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427915","0.621121","0.621121","0.007391","7.224761","0.000000","3.444163","0.804950","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427934","-0.429232","-0.429232","0.005523","-5.775744","0.000000","1.100200","2.754954","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10427982","0.108796","0.108796","0.000178","8.144081","0.000000","9.726789","7.817991","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10428012","0.160307","0.160307","0.001451","4.207829","0.000026","15.668980","11.339350","3","South_RS","Mid_North_RS","BS","NS",0.000248771593090211
"MA_10428029","0.975721","0.975721","0.003433","16.651981","0.000000","1.320888","0.016232","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10428037","0.236540","0.236540","0.000451","11.132228","0.000000","15.782834","9.744573","4","South_RS","Mid_North_RS","BS","NS",0
"MA_10428135","0.176143","0.176143","0.000638","6.974452","0.000000","24.508110","17.167268","5","South_RS","Mid_North_RS","BS","NS",0
"MA_10428148","-0.087200","-0.087200","0.000051","-12.166940","0.000000","5.671680","6.755317","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10428213","0.357990","0.357990","0.000118","32.936408","0.000000","3.291421","1.556069","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10428281","-0.345211","-0.345211","0.007064","-4.107355","0.000040","1.182667","2.429691","3","South_RS","Mid_North_RS","BS","NS",0.000372246421904169
"MA_10428295","0.323295","0.323295","0.005590","4.323964","0.000015","5.845185","2.989105","3","South_RS","Mid_North_RS","BS","NS",0.000148756631299735
"MA_10428340","0.531854","0.531854","0.012748","4.710600","0.000002","20.754474","6.342723","4","South_RS","Mid_North_RS","BS","NS",2.19603524229075e-05
"MA_10428343","0.892441","0.892441","0.002137","19.305440","0.000000","0.313902","0.017841","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10428382","-0.246387","-0.246387","0.001336","-6.741052","0.000000","2.944055","4.869117","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10428441","0.233420","0.233420","0.002587","4.589173","0.000004","13.017124","8.090239","2","South_RS","Mid_North_RS","BS","NS",4.25159914712154e-05
"MA_10428446","0.126601","0.126601","0.000298","7.333472","0.000000","19.169782","14.861414","4","South_RS","Mid_North_RS","BS","NS",0
"MA_10428462","-0.084284","-0.084284","0.000045","-12.577650","0.000000","12.588958","14.906385","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10428473","-0.513038","-0.513038","0.012767","-4.540444","0.000006","3.094315","9.614331","3","South_RS","Mid_North_RS","BS","NS",6.28361344537815e-05
"MA_10428531","0.307231","0.307231","0.002419","6.247018","0.000000","4.700802","2.491199","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10428540","1.000000","1.000000","0.000000","Inf","0.000000","0.154646","0.000000","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10428562","-0.191410","-0.191410","0.000656","-7.474650","0.000000","1.300371","1.916020","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10428586","-0.271509","-0.271509","0.000808","-9.553092","0.000000","5.380006","9.390263","4","South_RS","Mid_North_RS","BS","NS",0
"MA_10428589","0.287529","0.287529","0.000638","11.386538","0.000000","2.325422","1.286803","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10428590","0.356928","0.356928","0.000904","11.868862","0.000000","2.095774","0.993224","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10428713","0.309303","0.309303","0.002666","5.990196","0.000000","2.707265","1.428164","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10428739","-0.790163","-0.790163","0.001048","-24.411603","0.000000","0.933114","7.960574","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10428753","0.106617","0.106617","0.000000","955.410927","0.000000","1.077208","0.869641","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10428811","0.792743","0.792743","0.005672","10.526120","0.000000","2.795587","0.323194","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10428929","0.772567","0.772567","0.024696","4.916135","0.000001","5.178335","0.664418","2","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10428980","0.584741","0.584741","0.000019","134.676483","0.000000","3.946694","1.034174","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10429002","-0.364194","-0.364194","0.001851","-8.465070","0.000000","2.914921","6.254289","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10429005","0.966162","0.966162","0.000068","117.556305","0.000000","0.312079","0.005371","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10429032","-0.408183","-0.408183","0.009499","-4.187988","0.000028","0.864106","2.056072","3","South_RS","Mid_North_RS","BS","NS",0.000266713375796178
"MA_10429123","0.105266","0.105266","0.000399","5.270677","0.000000","18.388585","14.885897","3","South_RS","Mid_North_RS","BS","NS",0
"MA_10429131","0.831974","0.831974","0.003686","13.703712","0.000000","1.475652","0.135345","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10429248","-0.901893","-0.901893","0.004077","-14.124708","0.000000","0.329710","6.391747","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10429422","0.211524","0.211524","0.002717","4.058141","0.000049","7.357381","4.788285","2","South_RS","Mid_North_RS","BS","NS",0.000450950769230769
